"","ID1","ID2","MHCAll_perc_similar","MHCI_perc_similar","MHCII_perc_similar","KINSHIP","MHCall_common","MHCall_unique","MHCI_common","MHCI_unique","MHCII_common","MHCII_unique","Supertypeall_common","Supertypesall_unique","SupertypeAB_common","SupertypesAB_unique","SupertypeII_common","SupertypesII_unique"
"177","22","10",0.0645,0.1111,0,-0.174625,2,31,2,18,0,13,5,17,4,9,1,8
"178","22","11",0.1429,0.1875,0.0833,-0.0863407,4,28,3,16,1,12,7,18,5,10,2,8
"179","22","12",0.1786,0.125,0.25,-0.109501,5,28,2,16,3,12,7,15,5,9,2,6
"180","22","13",0,0,0,-0.146294,0,27,0,19,0,8,7,14,6,10,1,4
"181","22","14",0.2143,0.1667,0.3,-0.0702512,6,28,3,18,3,10,6,15,5,9,1,6
"182","22","15",0,0,0,-0.0703172,0,33,0,21,0,12,9,17,7,10,2,7
"183","22","16",0.0312,0.0526,0,-0.0585653,1,32,1,19,0,13,6,16,4,10,2,6
"184","22","17",0.0606,0.1053,0,-0.152665,2,33,2,19,0,14,6,17,4,9,2,8
"185","22","18",0.0294,0.0476,0,-0.156461,1,34,1,21,0,13,9,15,7,9,2,6
"186","22","19",0.2,0.2778,0.0833,-0.0068788,6,30,5,18,1,12,8,17,6,11,2,6
"187","22","2",0.1429,0.0588,0.2727,-0.172671,4,28,1,17,3,11,6,16,4,10,2,6
"188","22","20",0.1724,0.1111,0.2727,-0.0622749,5,29,2,18,3,11,7,15,5,9,2,6
"189","22","21",0.1923,0.125,0.3,-0.101886,5,26,2,16,3,10,7,14,5,9,2,5
"190","22","3",0,0,0,-0.136039,0,33,0,21,0,12,9,17,7,10,2,7
"191","22","4",0.1429,0.1875,0.0833,-0.0867274,4,28,3,16,1,12,8,16,6,10,2,6
"192","22","5",0.0294,0.0455,0,-0.046638,1,34,1,22,0,12,8,15,6,10,2,5
"193","22","6",0.1333,0.0476,0.3333,-0.0621547,4,30,1,21,3,9,9,15,8,10,1,5
"194","22","7",0,0,0,-0.179262,0,33,0,22,0,11,8,16,7,10,1,6
"195","22","8",0.1786,0.1111,0.3,-0.141043,5,28,2,18,3,10,8,13,6,9,2,4
"196","22","9",0.28,0.2222,0.4286,-0.159492,7,25,4,18,3,7,8,15,7,11,1,4
"197","3","1",0.4,0.4,0.4,-0.0404817,10,25,6,15,4,10,12,17,7,10,5,7
"198","3","2",0.4348,0.4615,0.4,-0.0460472,10,23,6,13,4,10,11,15,6,9,5,6
"199","4","1",0.1333,0.1176,0.1538,0.0792732,4,30,2,17,2,13,8,19,5,11,3,8
"200","4","2",0.0323,0.0625,0,0.0191869,1,31,1,16,0,15,5,19,3,11,2,8
"201","4","3",0.0645,0.0526,0.0833,-0.022646,2,31,1,19,1,12,9,19,6,11,3,8
"202","5","1",0.2333,0.2778,0.1667,0.0402074,7,30,5,18,2,12,9,17,6,10,3,7
"203","5","2",0.129,0.2353,0,0.00575164,4,31,4,17,0,14,6,17,4,10,2,7
"204","5","3",0.3846,0.5,0.2,0.0320362,10,26,8,16,2,10,10,17,7,10,3,7
"205","5","4",0.3462,0.2222,0.625,0.0506387,9,26,4,18,5,8,11,14,7,9,4,5
